70_+0000_-0000_000_P;;20150;FSVS2-141223;1;01162024;40;03152024;40
70_+0000_-0025_000_P;;20150;FSVS2-141223;1;01162024;10;03152024;10
70_+0000_-0050_000_P;;20150;FSVS2-141223;1;01162024;20;03152024;20
70_+0000_-0075_000_P;;20150;FSVS2-141223;1;01162024;20;03152024;20
70_+0000_-0100_000_P;;20150;FSVS2-141223;1;01162024;20;03152024;20
70_+0000_-0125_000_P;;20150;FSVS2-141223;1;01162024;10;03152024;10
70_+0000_-0150_000_P;;20150;FSVS2-141223;1;01162024;10;03152024;10
70_+0000_-0175_000_P;;20150;FSVS2-141223;1;01162024;10;03152024;10
70_+0000_-0200_000_P;;20150;FSVS2-141223;1;01162024;10;03152024;10
70_-0025_-0000_000_P;;20150;FSVS2-141223;1;01162024;10;03152024;10
70_-0025_-0025_000_P;;20150;FSVS2-141223;1;01162024;10;03152024;10
70_-0025_-0050_000_P;;20150;FSVS2-141223;1;01162024;10;03152024;10
70_-0025_-0075_000_P;;20150;FSVS2-141223;1;01162024;10;03152024;10
70_-0025_-0100_000_P;;20150;FSVS2-141223;1;01162024;10;03152024;10
70_-0025_-0125_000_P;;20150;FSVS2-141223;1;01162024;5;03152024;5
70_-0025_-0150_000_P;;20150;FSVS2-141223;1;01162024;5;03152024;5
70_-0025_-0175_000_P;;20150;FSVS2-141223;1;01162024;5;03152024;5
70_-0025_-0200_000_P;;20150;FSVS2-141223;1;01162024;5;03152024;5
70_-0050_-0000_000_P;;20150;FSVS2-141223;1;01162024;20;03152024;20
70_-0050_-0025_000_P;;20150;FSVS2-141223;1;01162024;10;03152024;10
70_-0050_-0050_000_P;;20150;FSVS2-141223;1;01162024;10;03152024;10
70_-0050_-0075_000_P;;20150;FSVS2-141223;1;01162024;10;03152024;10
70_-0050_-0100_000_P;;20150;FSVS2-141223;1;01162024;10;03152024;10
70_-0050_-0125_000_P;;20150;FSVS2-141223;1;01162024;5;03152024;5
70_-0050_-0150_000_P;;20150;FSVS2-141223;1;01162024;5;03152024;5
